0x00, 1430278726.168	1971, 2003, 2827, 	8792, 32767, 32767	 257, -4096, 1379, 	   0,  679, 	-32640, -32640, 32640	2362	 39195,91483, 	32558,31.6
0x00, 1430278726.262	  85, 4043, 4041, 	-9970, -32768, -12887	 213, -4096, 1412, 	   0,  679, 	32640, 14720, 32640	3122	 39179,91436, 	32558,31.6
0x00, 1430278726.356	   1, 4042, 4041, 	2494, 32767, -1900	 228, -4096, 1399, 	   0,  679, 	32640, 32640, 32640	3148	 39180,91439, 	32558,31.6
0x00, 1430278726.434	2326,    2, 4039, 	-11780, -26017, -13093	 354, -4096, 1348, 	   0,  679, 	-32640, -27776, 32640	3148	 39182,91445, 	32558,31.6
0x00, 1430278726.527	1674, 4030, 4023, 	-22171, -32768, -1042	 276, -4096, 1395, 	   0,  679, 	32640, 4864, 32640	3113	 39180,91439, 	32558,31.6
0x00, 1430278726.639	   1,    1, 3986, 	-12970, 12524, -13282	 316, -4096, 1429, 	   0,  679, 	-32640, 32640, 32640	3000	 39176,91427, 	32558,31.6
0x00, 1430278726.748	3023, 4045, 4041, 	-13853, 32767, -7319	 258, -4096, 1476, 	   0,  679, 	32640, -20224, 32640	3135	 39186,91457, 	32558,31.6
0x00, 1430278726.795	1296, 3192, 4038, 	-30540, -32768, -18566	 238, -4096, 1331, 	   0,  679, 	6400, 18752, 32640	3146	 39175,91423, 	32558,31.6
0x00, 1430278726.889	   2,  643, 4038, 	18089, -32768, -12074	 246, -4096, 1430, 	   0,  679, 	11584, 32640, 32640	3155	 39178,91432, 	32558,31.6
0x00, 1430278726.998	   1, 4015, 4002, 	-16134, 32767, -26850	 222, -4096, 1350, 	   0,  679, 	32640, 32640, 32640	3059	 39179,91436, 	32558,31.6
0x00, 1430278727.092	4047,    3, 4040, 	1247, 26947, 32767	 305, -4096, 1244, 	   0,  679, 	-32640, -32640, 32640	3141	 39179,91439, 	32560,31.6
0x00, 1430278727.170	3386, 4049, 4005, 	-32768, -23700, -6807	 286, -4096, 1222, 	   0,  679, 	32640, -30400, 32640	3062	 39176,91430, 	32560,31.6
0x00, 1430278727.264	   1,    1, 1660, 	-1708, -32768, -6798	 292, -4096, 1434, 	   0,  679, 	-32640, 32640, -576	2422	 39177,91432, 	32560,31.6
0x00, 1430278727.373	1643, 4049, 3949, 	-368, 32767, -32768	 225, -4096, 1408, 	   0,  679, 	32640, 4672, 32640	3074	 39178,91436, 	32560,31.6
0x00, 1430278727.467	3121,    3, 4040, 	12329, -481, 3972	 295, -4096, 1384, 	   0,  679, 	-32640, -32640, 32640	3104	 39178,91436, 	32560,31.6
0x00, 1430278727.561	3740, 4050, 3989, 	-32768, -29828, -239	 322, -4096, 1203, 	   0,  679, 	32640, -32640, 32640	2992	 39175,91427, 	32560,31.6
0x00, 1430278727.654	   1,    1, 1628, 	-10039, -17943, -13741	 340, -4096, 1516, 	   0,  679, 	-32640, 32640, -448	2321	 39172,91417, 	32560,31.6
0x00, 1430278727.732	1612, 4048, 4040, 	-4277, 32767, -7172	 232, -4096, 1414, 	   0,  680, 	32640, 4736, 32640	2991	 39178,91436, 	32560,31.6
0x00, 1430278727.826	 400,    1, 4035, 	-5554, -32768, -30325	 311, -4096, 1298, 	   0,  679, 	-32640, 21760, 32640	3071	 39176,91430, 	32560,31.6
0x00, 1430278727.920	 758, 3687, 3985, 	2584, -32768, -20888	 280, -4096, 1307, 	   0,  679, 	32640, 20480, 32640	2962	 39174,91423, 	32560,31.6
0x00, 1430278727.998	   1, 2622, 3948, 	-13153, 32767, 19857	 208, -4096, 1418, 	   0,  679, 	16192, 32640, 32640	3154	 39174,91432, 	32565,31.7
0x00, 1430278728.076	4046,    3, 4039, 	-586, 32767, 32767	  21, -4096, 1265, 	   0,  679, 	-32640, -32640, 32640	3142	 39176,91438, 	32565,31.7
